Timestamp,Temp_Setpoint,Temp_Actual,Humidity_Setpoint,Humidity_Actual
2025-06-03 14:34:55,52.0,22.9,10.0,82.2
2025-06-03 14:35:01,52.0,22.9,10.0,82.2
2025-06-03 14:35:08,52.0,22.9,10.0,82.0
2025-06-03 14:35:14,52.0,22.9,10.0,82.2
2025-06-03 14:35:20,52.0,22.9,10.0,82.2
2025-06-03 14:35:26,52.0,22.9,10.0,82.2
2025-06-03 14:35:32,52.0,22.9,10.0,82.4
2025-06-03 14:35:39,52.0,22.9,10.0,82.4
2025-06-03 14:40:26,0.28,52.0,22.9,10.0,83.3
2025-06-03 14:40:32,6.48,52.0,22.9,10.0,83.1
2025-06-03 14:40:38,12.68,52.0,22.9,10.0,83.1
2025-06-03 14:40:44,18.87,52.0,22.9,10.0,83.3
2025-06-03 14:40:50,25.06,52.0,22.9,10.0,83.3
2025-06-03 14:40:57,31.26,52.0,22.9,10.0,83.3
2025-06-03 14:41:03,37.45,52.0,22.9,10.0,83.3
2025-06-03 14:41:09,43.64,52.0,23.0,10.0,82.8
2025-06-03 14:41:15,49.84,51.4,23.0,10.0,82.1
2025-06-03 14:41:21,56.02,-10.0,23.0,10.0,82.1
2025-06-03 14:41:28,62.22,-20.0,23.0,10.0,82.1
2025-06-03 14:41:34,68.42,-20.0,23.0,10.0,82.1
2025-06-03 14:41:40,74.63,-20.0,23.0,20.0,82.1
2025-06-03 14:41:46,80.83,-20.0,23.0,30.0,82.2
2025-06-03 14:41:52,87.03,-20.0,23.0,30.0,81.7
2025-06-03 14:41:59,93.21,-20.0,23.0,30.0,80.3
2025-06-03 14:42:05,99.41,-20.0,23.1,30.0,79.3
2025-06-03 14:42:11,105.6,-20.0,23.2,30.0,78.8
2025-06-03 14:42:17,111.79,-20.0,23.2,30.0,77.8
2025-06-03 14:42:23,117.98,-20.0,23.1,30.0,77.1
2025-06-03 14:42:30,124.19,-20.0,23.0,30.0,76.6
2025-06-03 14:42:36,130.39,-20.0,22.8,30.0,76.9
2025-06-03 14:42:42,136.58,-20.0,22.5,30.0,75.4
2025-06-03 14:42:48,142.78,-20.0,22.3,30.0,74.5
2025-06-03 14:42:54,148.97,-20.0,22.1,30.0,74.4
2025-06-03 14:43:00,155.16,-20.0,21.8,30.0,73.9
2025-06-03 14:43:07,161.35,-20.0,21.5,30.0,73.0
2025-06-03 14:43:13,167.53,-20.0,21.2,30.0,73.2
2025-06-03 14:43:19,173.72,-20.0,21.0,30.0,73.2
2025-06-03 14:43:25,179.92,-20.0,20.6,30.0,72.4
2025-06-03 14:43:31,186.11,-20.0,20.4,30.0,72.4
2025-06-03 14:43:38,192.33,-20.0,20.1,30.0,72.8
2025-06-03 14:43:44,198.54,-20.0,19.8,30.0,72.2
2025-06-03 14:43:50,204.73,-20.0,19.6,30.0,72.2
2025-06-03 14:43:56,210.93,-20.0,19.4,30.0,73.2
2025-06-03 14:44:02,217.14,-20.0,19.2,30.0,72.9
2025-06-03 14:44:09,223.32,-20.0,18.9,30.0,72.9
2025-06-03 14:44:15,229.51,-20.0,18.8,30.0,73.7
2025-06-03 14:44:21,235.72,-20.0,18.6,30.0,74.0
2025-06-03 14:44:27,241.92,-20.0,18.4,30.0,73.8
2025-06-03 14:44:33,248.14,-20.0,18.3,30.0,74.5
2025-06-03 14:44:40,254.32,-20.0,18.2,30.0,75.0
2025-06-03 14:44:46,260.51,-20.0,18.0,30.0,74.9
2025-06-03 14:44:52,266.72,-20.0,17.9,30.0,75.6
2025-06-03 14:44:58,272.91,-20.0,17.8,30.0,76.0
2025-06-03 14:45:04,279.11,-20.0,17.6,30.0,75.4
2025-06-03 14:45:11,285.31,-20.0,17.4,30.0,75.5
2025-06-03 14:45:17,291.5,-20.0,17.3,30.0,75.8
2025-06-03 14:45:23,297.7,-20.0,17.2,30.0,75.3
2025-06-03 14:45:29,303.89,-20.0,16.9,30.0,74.9
2025-06-03 14:45:35,310.1,-20.0,16.8,30.0,75.5
2025-06-03 14:45:42,316.29,-20.0,16.6,30.0,74.9
2025-06-03 14:45:48,322.5,-20.0,16.4,30.0,74.6
2025-06-03 14:45:54,328.71,-20.0,16.3,30.0,74.9
2025-06-03 14:46:00,334.9,-20.0,16.1,30.0,75.2
2025-06-03 14:46:06,341.09,-20.0,16.0,30.0,74.7
2025-06-03 14:46:13,347.27,-20.0,15.9,30.0,75.2
2025-06-03 14:46:19,353.46,-20.0,15.8,30.0,75.8
2025-06-03 14:46:25,359.68,-20.0,15.6,30.0,75.3
2025-06-03 14:46:31,365.86,-20.0,15.5,30.0,75.6
2025-06-03 14:46:37,372.06,-20.0,15.5,30.0,75.8
2025-06-03 14:46:44,378.27,-20.0,15.4,30.0,75.9
2025-06-03 14:46:50,384.46,-20.0,15.3,30.0,75.9
2025-06-03 14:46:56,390.66,-20.0,15.2,30.0,76.2
2025-06-03 14:47:02,396.87,-20.0,15.1,30.0,76.2
2025-06-03 14:47:08,403.08,-20.0,15.0,30.0,75.9
